,v_name,v_price,h_price,l_price,v_market,area,source,updateTime,insertTime,lWendu,hWendu,tianqi,fengli,fengxiang,aqi,aqiLevel,aqiInfo,cpi,h_3,h_9,l_3,l_9,h_price_pred,l_price_pred
16,韭菜,3.7,4.4,3.0,重庆双福国际农贸城,cq,vegnet.com.cn,2016-11-14,2018-04-24,14,16,阴~小雨,微风,无持续风向,110,3,轻度污染,102.0,8.4,5.4,7.666666666666667,4.699999999999999,5.318012422360248,4.2068322981366455
17,红萝卜,2.4,2.6,2.2,重庆双福国际农贸城,cq,vegnet.com.cn,2016-11-14,2018-04-24,14,16,阴~小雨,微风,无持续风向,110,3,轻度污染,102.0,6.533333333333334,5.311111111111111,5.666666666666667,4.5,3.0843840579710204,2.3367391304347813
18,白萝卜,1.9,2.2,1.6,重庆双福国际农贸城,cq,vegnet.com.cn,2016-11-14,2018-04-24,14,16,阴~小雨,微风,无持续风向,110,3,轻度污染,102.0,4.333333333333335,4.933333333333334,3.4,4.233333333333333,3.0843840579710204,2.3367391304347813
19,土豆,2.2,2.4,2.0,重庆双福国际农贸城,cq,vegnet.com.cn,2016-11-14,2018-04-24,14,16,阴~小雨,微风,无持续风向,110,3,轻度污染,102.0,3.0666666666666678,4.711111111111111,2.266666666666666,3.966666666666667,3.0843840579710204,2.3367391304347813
20,山药,6.5,7.0,6.0,重庆双福国际农贸城,cq,vegnet.com.cn,2016-11-14,2018-04-24,14,16,阴~小雨,微风,无持续风向,110,3,轻度污染,102.0,2.400000000000001,4.422222222222222,1.933333333333333,3.677777777777778,7.0280000000000005,4.784
21,芋头,2.8,3.0,2.6,重庆双福国际农贸城,cq,vegnet.com.cn,2016-11-14,2018-04-24,14,16,阴~小雨,微风,无持续风向,110,3,轻度污染,102.0,3.8666666666666676,5.044444444444444,3.1999999999999993,4.255555555555556,3.0843840579710204,2.3367391304347813
22,大葱,2.6,3.0,2.2,重庆双福国际农贸城,cq,vegnet.com.cn,2016-11-14,2018-04-24,14,16,阴~小雨,微风,无持续风向,110,3,轻度污染,102.0,4.133333333333334,5.199999999999999,3.5333333333333328,4.48888888888889,3.0843840579710204,2.3367391304347813
23,生姜,7.0,8.6,5.4,重庆双福国际农贸城,cq,vegnet.com.cn,2016-11-14,2018-04-24,14,16,阴~小雨,微风,无持续风向,110,3,轻度污染,102.0,4.333333333333334,4.422222222222222,3.599999999999999,3.7333333333333343,20.91111111111111,14.266666666666667
24,大蒜,14.0,15.0,13.0,重庆双福国际农贸城,cq,vegnet.com.cn,2016-11-14,2018-04-24,14,16,阴~小雨,微风,无持续风向,110,3,轻度污染,102.0,4.866666666666667,4.355555555555556,3.3999999999999986,3.333333333333334,16.133333333333333,14.266666666666667
25,芹菜,2.3,2.6,2.0,重庆双福国际农贸城,cq,vegnet.com.cn,2016-11-14,2018-04-24,14,16,阴~小雨,微风,无持续风向,110,3,轻度污染,102.0,8.866666666666667,5.355555555555556,6.8666666666666645,4.222222222222223,3.0843840579710204,2.3367391304347813
26,莴笋,2.6,3.0,2.2,重庆双福国际农贸城,cq,vegnet.com.cn,2016-11-14,2018-04-24,14,16,阴~小雨,微风,无持续风向,110,3,轻度污染,102.0,8.733333333333334,5.155555555555556,6.799999999999998,4.111111111111112,3.0843840579710204,2.3367391304347813
27,莲藕,3.2,3.6,2.8,重庆双福国际农贸城,cq,vegnet.com.cn,2016-11-14,2018-04-24,14,16,阴~小雨,微风,无持续风向,110,3,轻度污染,102.0,6.866666666666667,5.2,5.733333333333332,4.111111111111112,3.0843840579710204,2.3367391304347813
28,茭白,2.2,2.6,1.8,重庆双福国际农贸城,cq,vegnet.com.cn,2016-11-14,2018-04-24,14,16,阴~小雨,微风,无持续风向,110,3,轻度污染,102.0,3.0666666666666678,5.355555555555556,2.333333333333332,4.2444444444444445,3.0843840579710204,2.3367391304347813
29,西兰花,5.5,6.0,5.0,重庆双福国际农贸城,cq,vegnet.com.cn,2016-11-14,2018-04-24,14,16,阴~小雨,微风,无持续风向,110,3,轻度污染,102.0,3.0666666666666678,5.377777777777778,2.2666666666666657,4.222222222222222,3.0843840579710204,2.3367391304347813
30,西红柿,4.0,4.6,3.4,重庆双福国际农贸城,cq,vegnet.com.cn,2016-11-14,2018-04-24,14,16,阴~小雨,微风,无持续风向,110,3,轻度污染,102.0,4.066666666666667,5.2666666666666675,3.1999999999999993,4.111111111111111,3.0843840579710204,2.3367391304347813
31,条形辣椒干（小米椒）,5.5,6.2,4.8,重庆双福国际农贸城,cq,vegnet.com.cn,2016-11-14,2018-04-24,14,16,阴~小雨,微风,无持续风向,110,3,轻度污染,102.0,4.400000000000001,5.4444444444444455,3.4,4.199999999999999,6.2,4.8
32,青椒,3.7,4.4,3.0,重庆双福国际农贸城,cq,vegnet.com.cn,2016-11-14,2018-04-24,14,16,阴~小雨,微风,无持续风向,110,3,轻度污染,102.0,5.600000000000001,5.800000000000001,4.3999999999999995,4.488888888888888,3.0843840579710204,2.3367391304347813
33,茄子,3.2,3.6,2.8,重庆双福国际农贸城,cq,vegnet.com.cn,2016-11-14,2018-04-24,14,16,阴~小雨,微风,无持续风向,110,3,轻度污染,102.0,5.066666666666667,5.333333333333334,3.733333333333333,4.222222222222221,3.0843840579710204,2.3367391304347813
34,黄瓜,2.5,3.0,2.0,重庆双福国际农贸城,cq,vegnet.com.cn,2016-11-14,2018-04-24,14,16,阴~小雨,微风,无持续风向,110,3,轻度污染,102.0,4.733333333333335,4.066666666666667,3.533333333333333,3.0888888888888877,3.0843840579710204,2.3367391304347813
35,苦瓜,4.2,4.8,3.6,重庆双福国际农贸城,cq,vegnet.com.cn,2016-11-14,2018-04-24,14,16,阴~小雨,微风,无持续风向,110,3,轻度污染,102.0,3.666666666666668,4.111111111111112,2.6,3.0888888888888877,5.664383561643833,4.784246575342465
36,南瓜,1.5,1.6,1.4,重庆双福国际农贸城,cq,vegnet.com.cn,2016-11-14,2018-04-24,14,16,阴~小雨,微风,无持续风向,110,3,轻度污染,102.0,3.800000000000001,4.311111111111112,2.8000000000000003,3.2444444444444436,3.0843840579710204,2.3367391304347813
37,冬瓜,1.0,1.2,0.8,重庆双福国际农贸城,cq,vegnet.com.cn,2016-11-14,2018-04-24,14,16,阴~小雨,微风,无持续风向,110,3,轻度污染,102.0,3.1333333333333346,4.0888888888888895,2.3333333333333335,3.0888888888888877,3.0843840579710204,2.3367391304347813
38,丝瓜,9.5,10.0,9.0,重庆双福国际农贸城,cq,vegnet.com.cn,2016-11-14,2018-04-24,14,16,阴~小雨,微风,无持续风向,110,3,轻度污染,102.0,2.5333333333333345,3.933333333333334,1.9333333333333336,2.9777777777777765,7.487500000000001,6.63125
39,豇豆,9.1,9.2,9.0,重庆双福国际农贸城,cq,vegnet.com.cn,2016-11-14,2018-04-24,14,16,阴~小雨,微风,无持续风向,110,3,轻度污染,102.0,4.266666666666667,4.377777777777778,3.733333333333334,3.422222222222221,8.32,7.67
40,平菇,4.5,5.0,4.0,重庆双福国际农贸城,cq,vegnet.com.cn,2016-11-14,2018-04-24,14,16,阴~小雨,微风,无持续风向,110,3,轻度污染,102.0,6.8,4.888888888888889,6.266666666666668,4.044444444444443,5.576470588235294,4.529411764705882
41,小白菜,2.0,2.0,2.0,重庆双福国际农贸城,cq,vegnet.com.cn,2016-11-15,2018-04-24,15,19,阴~小雨,微风,无持续风向,109,3,轻度污染,102.0,8.066666666666666,4.755555555555556,7.333333333333335,3.955555555555555,3.0843840579710204,2.3367391304347813
42,韭菜,4.5,6.0,3.0,重庆双福国际农贸城,cq,vegnet.com.cn,2016-11-15,2018-04-24,15,19,阴~小雨,微风,无持续风向,109,3,轻度污染,102.0,5.3999999999999995,4.48888888888889,5.000000000000001,3.8444444444444437,5.318012422360248,4.2068322981366455
43,红萝卜,2.0,2.0,2.0,重庆双福国际农贸城,cq,vegnet.com.cn,2016-11-15,2018-04-24,15,19,阴~小雨,微风,无持续风向,109,3,轻度污染,102.0,4.333333333333333,4.755555555555556,3.0000000000000013,3.8666666666666663,3.0843840579710204,2.3367391304347813
44,白萝卜,1.9,2.4,1.4,重庆双福国际农贸城,cq,vegnet.com.cn,2016-11-15,2018-04-24,15,19,阴~小雨,微风,无持续风向,109,3,轻度污染,102.0,3.3333333333333335,4.644444444444445,2.3333333333333344,3.8666666666666663,3.0843840579710204,2.3367391304347813
45,土豆,2.5,2.8,2.2,重庆双福国际农贸城,cq,vegnet.com.cn,2016-11-15,2018-04-24,15,19,阴~小雨,微风,无持续风向,109,3,轻度污染,102.0,3.466666666666667,4.377777777777778,2.1333333333333346,3.622222222222222,3.0843840579710204,2.3367391304347813
46,山药,10.5,14.0,7.0,重庆双福国际农贸城,cq,vegnet.com.cn,2016-11-15,2018-04-24,15,19,阴~小雨,微风,无持续风向,109,3,轻度污染,102.0,2.4,4.511111111111111,1.8666666666666683,3.711111111111111,7.0280000000000005,4.784
47,芋头,2.6,2.8,2.4,重庆双福国际农贸城,cq,vegnet.com.cn,2016-11-15,2018-04-24,15,19,阴~小雨,微风,无持续风向,109,3,轻度污染,102.0,6.3999999999999995,5.933333333333334,3.533333333333335,4.4,3.0843840579710204,2.3367391304347813
48,大葱,3.1,4.0,2.2,重庆双福国际农贸城,cq,vegnet.com.cn,2016-11-15,2018-04-24,15,19,阴~小雨,微风,无持续风向,109,3,轻度污染,102.0,6.533333333333334,5.133333333333333,3.8666666666666685,3.6666666666666665,3.0843840579710204,2.3367391304347813
49,生姜,6.5,9.0,4.0,重庆双福国际农贸城,cq,vegnet.com.cn,2016-11-15,2018-04-24,15,19,阴~小雨,微风,无持续风向,109,3,轻度污染,102.0,6.933333333333334,4.555555555555555,3.8666666666666685,2.9111111111111114,9.0,4.0
50,大蒜,15.0,16.0,14.0,重庆双福国际农贸城,cq,vegnet.com.cn,2016-11-15,2018-04-24,15,19,阴~小雨,微风,无持续风向,109,3,轻度污染,102.0,5.266666666666667,5.0,2.8666666666666685,2.9111111111111114,16.0,14.0
51,芹菜,2.9,3.0,2.8,重庆双福国际农贸城,cq,vegnet.com.cn,2016-11-15,2018-04-24,15,19,阴~小雨,微风,无持续风向,109,3,轻度污染,102.0,9.666666666666666,6.555555555555555,6.733333333333335,4.2444444444444445,3.0843840579710204,2.3367391304347813
52,莴笋,4.1,5.0,3.2,重庆双福国际农贸城,cq,vegnet.com.cn,2016-11-15,2018-04-24,15,19,阴~小雨,微风,无持续风向,109,3,轻度污染,102.0,9.333333333333334,6.222222222222222,6.933333333333336,4.222222222222222,3.0843840579710204,2.3367391304347813
53,莲藕,4.5,5.0,4.0,重庆双福国际农贸城,cq,vegnet.com.cn,2016-11-15,2018-04-24,15,19,阴~小雨,微风,无持续风向,109,3,轻度污染,102.0,8.0,6.555555555555555,6.666666666666669,4.355555555555556,3.0843840579710204,2.3367391304347813
54,茭白,1.3,1.6,1.0,重庆双福国际农贸城,cq,vegnet.com.cn,2016-11-15,2018-04-24,15,19,阴~小雨,微风,无持续风向,109,3,轻度污染,102.0,4.333333333333333,6.844444444444445,3.3333333333333357,4.644444444444445,3.0843840579710204,2.3367391304347813
55,西兰花,8.0,10.0,6.0,重庆双福国际农贸城,cq,vegnet.com.cn,2016-11-15,2018-04-24,15,19,阴~小雨,微风,无持续风向,109,3,轻度污染,102.0,3.8666666666666667,6.711111111111112,2.7333333333333356,4.511111111111111,3.0843840579710204,2.3367391304347813
56,西红柿,2.5,2.8,2.2,重庆双福国际农贸城,cq,vegnet.com.cn,2016-11-15,2018-04-24,15,19,阴~小雨,微风,无持续风向,109,3,轻度污染,102.0,5.533333333333334,6.2666666666666675,3.666666666666669,4.4,3.0843840579710204,2.3367391304347813
57,条形辣椒干（小米椒）,6.5,8.0,5.0,重庆双福国际农贸城,cq,vegnet.com.cn,2016-11-15,2018-04-24,15,19,阴~小雨,微风,无持续风向,109,3,轻度污染,102.0,4.800000000000001,6.2666666666666675,3.0666666666666687,4.377777777777778,8.0,5.0
58,青椒,5.6,5.6,5.6,重庆双福国际农贸城,cq,vegnet.com.cn,2016-11-15,2018-04-24,15,19,阴~小雨,微风,无持续风向,109,3,轻度污染,102.0,6.933333333333334,6.711111111111112,4.400000000000002,4.688888888888889,3.0843840579710204,2.3367391304347813
59,茄子,5.5,6.0,5.0,重庆双福国际农贸城,cq,vegnet.com.cn,2016-11-15,2018-04-24,15,19,阴~小雨,微风,无持续风向,109,3,轻度污染,102.0,5.466666666666666,6.333333333333333,4.266666666666668,4.866666666666667,3.0843840579710204,2.3367391304347813
60,黄瓜,4.1,4.2,4.0,重庆双福国际农贸城,cq,vegnet.com.cn,2016-11-15,2018-04-24,15,19,阴~小雨,微风,无持续风向,109,3,轻度污染,102.0,6.533333333333332,5.222222222222222,5.200000000000002,3.866666666666667,3.0843840579710204,2.3367391304347813
61,苦瓜,2.4,2.4,2.4,重庆双福国际农贸城,cq,vegnet.com.cn,2016-11-15,2018-04-24,15,19,阴~小雨,微风,无持续风向,109,3,轻度污染,102.0,5.266666666666666,5.355555555555556,4.866666666666668,4.000000000000001,5.664383561643833,4.784246575342465
62,南瓜,1.1,1.2,1.0,重庆双福国际农贸城,cq,vegnet.com.cn,2016-11-15,2018-04-24,15,19,阴~小雨,微风,无持续风向,109,3,轻度污染,102.0,4.199999999999998,5.066666666666666,3.800000000000001,3.9111111111111114,3.0843840579710204,2.3367391304347813
63,冬瓜,1.1,1.2,1.0,重庆双福国际农贸城,cq,vegnet.com.cn,2016-11-15,2018-04-24,15,19,阴~小雨,微风,无持续风向,109,3,轻度污染,102.0,2.5999999999999983,4.644444444444445,2.466666666666668,3.577777777777778,3.0843840579710204,2.3367391304347813
64,丝瓜,9.6,9.8,9.4,重庆双福国际农贸城,cq,vegnet.com.cn,2016-11-15,2018-04-24,15,19,阴~小雨,微风,无持续风向,109,3,轻度污染,102.0,1.599999999999998,4.6000000000000005,1.466666666666668,3.577777777777778,8.720930232558137,7.958139534883722
65,豇豆,8.75,9.0,8.5,重庆双福国际农贸城,cq,vegnet.com.cn,2016-11-15,2018-04-24,15,19,阴~小雨,微风,无持续风向,109,3,轻度污染,102.0,4.066666666666665,4.577777777777778,3.800000000000001,3.9555555555555557,8.32,7.67
66,小白菜,2.0,2.0,2.0,重庆双福国际农贸城,cq,vegnet.com.cn,2016-11-17,2018-04-24,16,20,阴,微风,无持续风向,122,3,轻度污染,102.0,6.666666666666665,5.2666666666666675,6.300000000000002,4.655555555555555,3.0843840579710204,2.3367391304347813
67,韭菜,3.0,3.0,3.0,重庆双福国际农贸城,cq,vegnet.com.cn,2016-11-17,2018-04-24,16,20,阴,微风,无持续风向,122,3,轻度污染,102.0,6.933333333333333,4.6000000000000005,6.6333333333333355,4.322222222222222,5.318012422360248,4.2068322981366455
68,红萝卜,2.0,2.0,2.0,重庆双福国际农贸城,cq,vegnet.com.cn,2016-11-17,2018-04-24,16,20,阴,微风,无持续风向,122,3,轻度污染,102.0,4.666666666666665,4.311111111111112,4.500000000000002,4.033333333333333,3.0843840579710204,2.3367391304347813
69,白萝卜,2.0,2.0,2.0,重庆双福国际农贸城,cq,vegnet.com.cn,2016-11-17,2018-04-24,16,20,阴,微风,无持续风向,122,3,轻度污染,102.0,2.333333333333332,3.866666666666667,2.3333333333333353,3.6999999999999997,3.0843840579710204,2.3367391304347813
70,土豆,2.5,2.8,2.2,重庆双福国际农贸城,cq,vegnet.com.cn,2016-11-17,2018-04-24,16,20,阴,微风,无持续风向,122,3,轻度污染,102.0,2.333333333333332,3.6222222222222222,2.3333333333333353,3.4777777777777774,3.0843840579710204,2.3367391304347813
71,芋头,2.7,2.9,2.5,重庆双福国际农贸城,cq,vegnet.com.cn,2016-11-17,2018-04-24,16,20,阴,微风,无持续风向,122,3,轻度污染,102.0,2.2666666666666657,3.6666666666666665,2.0666666666666687,3.4555555555555557,3.0843840579710204,2.3367391304347813
72,大葱,3.5,4.0,3.0,重庆双福国际农贸城,cq,vegnet.com.cn,2016-11-17,2018-04-24,16,20,阴,微风,无持续风向,122,3,轻度污染,102.0,2.566666666666666,3.855555555555555,2.2333333333333356,3.6222222222222222,3.0843840579710204,2.3367391304347813
73,生姜,6.5,9.0,4.0,重庆双福国际农贸城,cq,vegnet.com.cn,2016-11-17,2018-04-24,16,20,阴,微风,无持续风向,122,3,轻度污染,102.0,3.2333333333333325,4.166666666666666,2.5666666666666687,3.8444444444444446,8.357142857142858,4.5
74,大蒜,16.0,16.0,16.0,重庆双福国际农贸城,cq,vegnet.com.cn,2016-11-17,2018-04-24,16,20,阴,微风,无持续风向,122,3,轻度污染,102.0,5.299999999999998,4.077777777777777,3.166666666666669,3.244444444444445,16.133333333333333,14.266666666666667
75,芹菜,3.0,3.0,3.0,重庆双福国际农贸城,cq,vegnet.com.cn,2016-11-17,2018-04-24,16,20,阴,微风,无持续风向,122,3,轻度污染,102.0,9.666666666666666,4.855555555555554,7.666666666666669,4.077777777777778,3.0843840579710204,2.3367391304347813
76,莴笋,4.6,5.0,4.2,重庆双福国际农贸城,cq,vegnet.com.cn,2016-11-17,2018-04-24,16,20,阴,微风,无持续风向,122,3,轻度污染,102.0,9.333333333333332,4.966666666666665,7.666666666666669,4.188888888888889,3.0843840579710204,2.3367391304347813
77,莲藕,4.4,4.8,4.0,重庆双福国际农贸城,cq,vegnet.com.cn,2016-11-17,2018-04-24,16,20,阴,微风,无持续风向,122,3,轻度污染,102.0,8.0,5.188888888888887,7.733333333333335,4.322222222222223,3.0843840579710204,2.3367391304347813
78,西兰花,8.0,10.0,6.0,重庆双福国际农贸城,cq,vegnet.com.cn,2016-11-17,2018-04-24,16,20,阴,微风,无持续风向,122,3,轻度污染,102.0,4.266666666666667,5.499999999999998,3.7333333333333356,4.544444444444445,3.0843840579710204,2.3367391304347813
79,西红柿,2.4,2.4,2.4,重庆双福国际农贸城,cq,vegnet.com.cn,2016-11-17,2018-04-24,16,20,阴,微风,无持续风向,122,3,轻度污染,102.0,6.6000000000000005,6.3888888888888875,4.733333333333335,4.98888888888889,3.0843840579710204,2.3367391304347813
80,条形辣椒干（小米椒）,7.0,7.0,7.0,重庆双福国际农贸城,cq,vegnet.com.cn,2016-11-17,2018-04-24,16,20,阴,微风,无持续风向,122,3,轻度污染,102.0,5.733333333333333,6.344444444444443,4.1333333333333355,5.011111111111111,5.88,5.0
81,青椒,5.6,5.6,5.6,重庆双福国际农贸城,cq,vegnet.com.cn,2016-11-17,2018-04-24,16,20,阴,微风,无持续风向,122,3,轻度污染,102.0,6.466666666666666,6.8,5.1333333333333355,5.511111111111111,3.0843840579710204,2.3367391304347813
82,黄瓜,2.0,2.0,2.0,重庆双福国际农贸城,cq,vegnet.com.cn,2016-11-17,2018-04-24,16,20,阴,微风,无持续风向,122,3,轻度污染,102.0,5.0,6.977777777777778,5.000000000000003,5.800000000000001,3.0843840579710204,2.3367391304347813
83,苦瓜,2.4,2.4,2.4,重庆双福国际农贸城,cq,vegnet.com.cn,2016-11-17,2018-04-24,16,20,阴,微风,无持续风向,122,3,轻度污染,102.0,4.866666666666666,6.199999999999999,4.866666666666669,5.577777777777778,5.664383561643833,4.784246575342465
84,南瓜,1.1,1.2,1.0,重庆双福国际农贸城,cq,vegnet.com.cn,2016-11-17,2018-04-24,16,20,阴,微风,无持续风向,122,3,轻度污染,102.0,3.3333333333333335,4.688888888888888,3.3333333333333357,4.066666666666666,3.0843840579710204,2.3367391304347813
85,冬瓜,1.1,1.2,1.0,重庆双福国际农贸城,cq,vegnet.com.cn,2016-11-17,2018-04-24,16,20,阴,微风,无持续风向,122,3,轻度污染,102.0,1.8666666666666665,4.488888888888889,1.8000000000000025,3.8444444444444446,3.0843840579710204,2.3367391304347813
86,丝瓜,9.5,9.8,9.2,重庆双福国际农贸城,cq,vegnet.com.cn,2016-11-17,2018-04-24,16,20,阴,微风,无持续风向,122,3,轻度污染,102.0,1.5999999999999999,4.066666666666666,1.4666666666666692,3.488888888888889,8.720930232558137,7.958139534883722
87,豇豆,8.75,9.0,8.5,重庆双福国际农贸城,cq,vegnet.com.cn,2016-11-17,2018-04-24,16,20,阴,微风,无持续风向,122,3,轻度污染,102.0,4.066666666666667,4.622222222222224,3.7333333333333356,4.066666666666666,8.32,7.67
88,平菇,3.4,4.0,2.8,重庆双福国际农贸城,cq,vegnet.com.cn,2016-11-17,2018-04-24,16,20,阴,微风,无持续风向,122,3,轻度污染,102.0,6.666666666666668,4.511111111111112,6.233333333333335,4.344444444444445,5.576470588235294,4.529411764705882
89,小白菜,2.0,2.0,2.0,重庆双福国际农贸城,cq,vegnet.com.cn,2016-11-18,2018-04-24,16,22,阴~多云,微风,无持续风向,82,2,良,102.0,7.600000000000001,4.68888888888889,6.833333333333336,4.388888888888889,3.0843840579710204,2.3367391304347813
90,韭菜,2.8,3.0,2.6,重庆双福国际农贸城,cq,vegnet.com.cn,2016-11-18,2018-04-24,16,22,阴~多云,微风,无持续风向,82,2,良,102.0,5.000000000000001,4.133333333333335,4.433333333333336,3.8333333333333335,5.318012422360248,4.2068322981366455
91,红萝卜,2.0,2.0,2.0,重庆双福国际农贸城,cq,vegnet.com.cn,2016-11-18,2018-04-24,16,22,阴~多云,微风,无持续风向,82,2,良,102.0,3.0000000000000013,3.8444444444444454,2.466666666666669,3.5,3.0843840579710204,2.3367391304347813
92,白萝卜,1.8,2.0,1.6,重庆双福国际农贸城,cq,vegnet.com.cn,2016-11-18,2018-04-24,16,22,阴~多云,微风,无持续风向,82,2,良,102.0,2.3333333333333344,3.8444444444444454,2.2000000000000024,3.5,3.0843840579710204,2.3367391304347813
93,土豆,2.4,2.6,2.2,重庆双福国际农贸城,cq,vegnet.com.cn,2016-11-18,2018-04-24,16,22,阴~多云,微风,无持续风向,82,2,良,102.0,2.3333333333333344,3.800000000000001,2.0666666666666695,3.4111111111111114,3.0843840579710204,2.3367391304347813
94,芋头,2.7,3.0,2.4,重庆双福国际农贸城,cq,vegnet.com.cn,2016-11-18,2018-04-24,16,22,阴~多云,微风,无持续风向,82,2,良,102.0,2.200000000000001,3.9555555555555566,1.9333333333333365,3.544444444444445,3.0843840579710204,2.3367391304347813
95,大葱,3.5,4.0,3.0,重庆双福国际农贸城,cq,vegnet.com.cn,2016-11-18,2018-04-24,16,22,阴~多云,微风,无持续风向,82,2,良,102.0,2.5333333333333345,4.155555555555556,2.06666666666667,3.7000000000000006,3.0843840579710204,2.3367391304347813
96,生姜,7.0,9.0,5.0,重庆双福国际农贸城,cq,vegnet.com.cn,2016-11-18,2018-04-24,16,22,阴~多云,微风,无持续风向,82,2,良,102.0,3.200000000000001,3.5111111111111115,2.5333333333333368,3.0111111111111115,8.614285714285714,7.6000000000000005
97,大蒜,14.0,16.0,12.0,重庆双福国际农贸城,cq,vegnet.com.cn,2016-11-18,2018-04-24,16,22,阴~多云,微风,无持续风向,82,2,良,102.0,5.333333333333333,3.511111111111112,3.46666666666667,2.622222222222223,16.0,12.25
98,芹菜,2.9,3.2,2.6,重庆双福国际农贸城,cq,vegnet.com.cn,2016-11-18,2018-04-24,16,22,阴~多云,微风,无持续风向,82,2,良,102.0,9.666666666666666,4.844444444444445,6.6666666666666705,3.6444444444444457,3.0843840579710204,2.3367391304347813
